Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Rogue One: Uma História Star Wars,(2016),"
Action, Adventure, Sci-Fi            ",133 min,7.8,$532.18M,"515,419",65        
Esquadrão Suicida,(2016),"
Action, Adventure, Fantasy            ",123 min,6.0,$325.10M,"559,419",40        
Deadpool,(2016),"
Action, Adventure, Comedy            ",108 min,8.0,$363.07M,"854,689",65        
La La Land: Cantando Estações,(I) (2016),"
Comedy, Drama, Music            ",128 min,8.0,$151.10M,"460,979",93        
Caça-Fantasmas,(2016),"
Action, Comedy, Fantasy            ",116 min,5.2,$128.34M,"194,340",60        
Boneco do Mal,(2016),"
Horror, Mystery, Thriller            ",97 min,6.0,$35.82M,"72,198",42        
Animais Fantásticos e Onde Habitam,(2016),"
Adventure, Family, Fantasy            ",132 min,7.3,$234.04M,"382,830",66        
Moana: Um Mar de Aventuras,(I) (2016),"
Animation, Adventure, Comedy            ",107 min,7.6,$248.76M,"241,466",81        
A Chegada,(II) (2016),"
Drama, Mystery, Sci-Fi            ",116 min,7.9,$100.55M,"545,199",81        
Independence Day: O Ressurgimento,(2016),"
Action, Adventure, Sci-Fi            ",120 min,5.2,$103.14M,"159,482",32        
Fragmentado,(IX) (2016),"
Horror, Thriller            ",117 min,7.3,$138.29M,"387,758",62        
Moonlight: Sob a Luz do Luar,(I) (2016),"
Drama            ",111 min,7.4,$27.85M,"243,899",99        
Zootopia,(2016),"
Animation, Adventure, Comedy            ",108 min,8.0,$341.27M,"401,851",78        
A Garota no Trem,(I) (2016),"
Crime, Drama, Mystery            ",112 min,6.5,$75.40M,"158,096",48        
Doutor Estranho,(2016),"
Action, Adventure, Fantasy            ",115 min,7.5,$232.64M,"550,348",72        
Até o Último Homem,(2016),"
Biography, Drama, History            ",139 min,8.1,$67.21M,"391,064",71        
Um Contratempo,(2016),"
Crime, Mystery, Thriller            ",106 min,8.1,,"98,295",
Batman vs Superman: A Origem da Justiça,(2016),"
Action, Adventure, Sci-Fi            ",151 min,6.5,$330.36M,"594,879",44        
Invasão a Londres,(2016),"
Action, Thriller            ",99 min,5.9,$62.68M,"134,701",28        
Silêncio,(I) (2016),"
Drama, History            ",161 min,7.2,$7.10M,"91,067",79        
Manchester à Beira-Mar,(2016),"
Drama            ",137 min,7.8,$47.70M,"225,491",96        
A Criada,(2016),"
Drama, Romance, Thriller            ",145 min,8.1,$2.01M,"89,887",84        
Animais Noturnos,(2016),"
Drama, Thriller            ",116 min,7.5,$10.64M,"217,047",67        
Paterson,(2016),"
Comedy, Drama, Romance            ",118 min,7.4,$2.14M,"60,633",90        
Your Name.,(2016),"
Animation, Drama, Fantasy            ",106 min,8.4,$5.02M,"154,571",79        
13 Horas: Os Soldados Secretos de Benghazi,(2016),"
Action, Drama, History            ",144 min,7.3,$52.85M,"108,489",48        
Capitão América: Guerra Civil,(2016),"
Action, Adventure, Sci-Fi            ",147 min,7.8,$408.08M,"617,152",75        
Pets: A Vida Secreta dos Bichos,(2016),"
Animation, Adventure, Comedy            ",87 min,6.5,$368.38M,"172,445",61        
Sing: Quem Canta Seus Males Espanta,(2016),"
Animation, Comedy, Family            ",108 min,7.1,$270.40M,"122,845",59        
Inferno,(I) (2016),"
Action, Crime, Drama            ",121 min,6.2,$34.34M,"145,606",42        
O Caçador e a Rainha do Gelo,(2016),"
Action, Adventure, Drama            ",114 min,6.1,$48.39M,"91,887",35        
Warcraft: O Primeiro Encontro de Dois Mundos,(2016),"
Action, Adventure, Fantasy            ",123 min,6.8,$47.37M,"232,131",32        
Star Trek: Sem Fronteiras,(2016),"
Action, Adventure, Sci-Fi            ",122 min,7.1,$158.85M,"216,382",68        
Invasão Zumbi,(2016),"
Action, Horror, Thriller            ",118 min,7.5,$2.13M,"121,849",72        
A Cura,(2016),"
Drama, Fantasy, Horror            ",146 min,6.4,$8.11M,"75,572",47        
Passageiros,(I) (2016),"
Drama, Romance, Sci-Fi            ",116 min,7.0,$100.01M,"324,752",41        
Estrelas Além do Tempo,(2016),"
Biography, Drama, History            ",127 min,7.8,$169.61M,"180,655",74        
X-Men: Apocalipse,(2016),"
Action, Adventure, Sci-Fi            ",144 min,6.9,$155.44M,"372,439",52        
O Homem nas Trevas,(2016),"
Crime, Horror, Thriller            ",88 min,7.1,$89.22M,"199,355",71        
Z: A Cidade Perdida,(2016),"
Biography, Drama, History            ",141 min,6.6,$8.58M,"70,870",78        
Dois Caras Legais,(2016),"
Action, Comedy, Crime            ",116 min,7.4,$36.26M,"253,498",70        
Capitão Fantástico,(2016),"
Comedy, Drama            ",118 min,7.9,$5.88M,"169,253",72        
Como Eu Era Antes de Você,(2016),"
Drama, Romance            ",106 min,7.4,$56.25M,"187,064",51        
Jason Bourne,(I) (2016),"
Action, Thriller            ",123 min,6.6,$162.43M,"196,779",58        
Demônio de Neon,(2016),"
Horror, Thriller            ",117 min,6.2,$1.33M,"76,784",51        
Orgulho e Preconceito e Zumbis,(2016),"
Action, Comedy, Fantasy            ",108 min,5.8,$10.91M,"48,258",45        
Cães de Guerra,(2016),"
Biography, Comedy, Crime            ",114 min,7.1,$43.02M,"162,768",57        
A Incrível Aventura de Rick Baker,(2016),"
Adventure, Comedy, Drama            ",101 min,7.9,$5.20M,"94,290",81        
Perfeita é a Mãe!,(2016),"
Comedy            ",100 min,6.2,$113.26M,"106,650",60        
A Lenda de Tarzan,(2016),"
Action, Adventure, Drama            ",110 min,6.2,$126.64M,"155,333",44        
Sete Homens e um Destino,(2016),"
Action, Adventure, Western            ",132 min,6.9,$93.43M,"174,488",54        
O Contador,(2016),"
Action, Crime, Drama            ",128 min,7.3,$86.26M,"243,216",51        
"Rua Cloverfield, 10",(2016),"
Drama, Horror, Mystery            ",103 min,7.2,$72.08M,"271,987",76        
Lady Macbeth,(2016),"
Drama, Romance            ",89 min,6.8,$1.13M,"16,534",76        
Sereia Predadora,(I) (2016),"
Fantasy, Horror, Mystery            ",82 min,5.3,,"5,238",54        
A Qualquer Custo,(II) (2016),"
Action, Crime, Drama            ",102 min,7.6,$26.86M,"185,839",88        
"Mogli, o Menino Lobo",(2016),"
Adventure, Drama, Family            ",106 min,7.4,$364.00M,"248,007",77        
Truque de Mestre: O 2º Ato,(2016),"
Action, Adventure, Comedy            ",129 min,6.5,$65.08M,"227,921",46        
A Série Divergente: Convergente,(2016),"
Action, Adventure, Mystery            ",120 min,5.7,$66.18M,"100,306",33        
Assassin's Creed,(2016),"
Action, Adventure, Sci-Fi            ",115 min,5.7,$54.65M,"173,515",36        
Mente Criminosa,(2016),"
Action, Crime, Drama            ",113 min,6.3,$14.27M,"54,721",36        
Lion: Uma Jornada para Casa,(2016),"
Biography, Drama            ",118 min,8.0,$51.74M,"191,842",69        
Amaldiçoada,(2016),"
Drama, Mystery, Thriller            ",148 min,7.1,,"32,821",45        
Sully: O Herói do Rio Hudson,(2016),"
Biography, Drama            ",96 min,7.4,$125.07M,"215,616",74        
O Lar das Crianças Peculiares,(2016),"
Adventure, Drama, Fantasy            ",127 min,6.7,$87.24M,"146,696",57        
Tirando o Atraso,(2016),"
Comedy            ",102 min,5.9,$35.59M,"106,213",21        
Horizonte Profundo: Desastre no Golfo,(2016),"
Action, Drama, History            ",107 min,7.1,$61.43M,"139,465",68        
Deuses do Egito,(2016),"
Action, Adventure, Fantasy            ",127 min,5.4,$31.15M,"99,018",25        
Below Her Mouth,(2016),"
Drama, Romance            ",94 min,5.5,,"8,632",42        
Alice Através do Espelho,(2016),"
Adventure, Family, Fantasy            ",113 min,6.2,$77.04M,"84,600",34        
Amores Canibais,(2016),"
Drama, Horror, Romance            ",118 min,5.3,$0.18M,"22,951",62        
A Última Ressaca do Ano,(2016),"
Comedy            ",105 min,5.8,$54.77M,"64,183",42        
Os Crimes de Limehouse,(2016),"
Crime, Mystery, Thriller            ",109 min,6.3,,"16,266",63        
Tinha Que Ser Ele?,(2016),"
Comedy            ",111 min,6.2,$60.32M,"94,424",39        
Procurando Dory,(2016),"
Animation, Adventure, Comedy            ",97 min,7.3,$486.30M,"223,377",77        
Os Caça-Noivas,(2016),"
Comedy, Romance            ",98 min,6.0,$46.01M,"77,895",51        
Dangal,(2016),"
Action, Biography, Drama            ",161 min,8.4,$12.39M,"134,510",
Um Espião e Meio,(2016),"
Action, Comedy, Crime            ",107 min,6.3,$127.44M,"146,939",52        
Invocação do Mal 2,(2016),"
Horror, Mystery, Thriller            ",134 min,7.3,$102.47M,"207,632",65        
"Ave, César!",(2016),"
Comedy, Drama, Music            ",106 min,6.3,$30.08M,"115,550",72        
A Grande Muralha,(I) (2016),"
Action, Adventure, Fantasy            ",103 min,5.9,$45.54M,"117,272",42        
