Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Jurassic Park: O Parque dos Dinossauros,(1993),"
Action, Adventure, Sci-Fi            ",127 min,8.1,$402.45M,"810,741",68        
A Lista de Schindler,(1993),"
Biography, Drama, History            ",195 min,8.9,$96.90M,"1,138,951",94        
Amor à Queima Roupa,(1993),"
Crime, Drama, Romance            ",119 min,7.9,$12.28M,"194,798",59        
"Jovens, Loucos e Rebeldes",(1993),"
Comedy            ",102 min,7.6,$7.99M,"152,233",78        
Uma Babá Quase Perfeita,(1993),"
Comedy, Drama, Family            ",125 min,7.0,$219.20M,"230,184",53        
O Fugitivo,(1993),"
Action, Crime, Drama            ",130 min,7.8,$183.88M,"252,729",87        
Gilbert Grape: Aprendiz de Sonhador,(1993),"
Drama            ",118 min,7.8,$9.17M,"203,122",73        
Tombstone: A Justiça Está Chegando,(1993),"
Action, Biography, Drama            ",130 min,7.8,$56.51M,"118,685",50        
A Família Addams 2,(1993),"
Comedy, Fantasy            ",94 min,6.7,$48.92M,"73,996",62        
Free Willy,(1993),"
Adventure, Drama, Family            ",112 min,5.9,$77.70M,"64,907",79        
Feitiço do Tempo,(1993),"
Comedy, Fantasy, Romance            ",101 min,8.0,$70.91M,"553,435",72        
O Pagamento Final,(1993),"
Crime, Drama, Thriller            ",144 min,7.9,$36.95M,"190,347",65        
Filadélfia,(1993),"
Drama            ",125 min,7.7,$77.32M,"212,105",66        
Sintonia de Amor,(1993),"
Comedy, Drama, Romance            ",105 min,6.8,$126.53M,"149,876",72        
Um Dia de Fúria,(1993),"
Crime, Drama, Thriller            ",113 min,7.6,$40.90M,"160,476",56        
O Piano,(1993),"
Drama, Music, Romance            ",121 min,7.6,$40.16M,"74,762",89        
Sonho de Campeão,(1993),"
Comedy, Family, Fantasy            ",103 min,6.0,$53.58M,"23,256",53        
A Época da Inocência,(1993),"
Drama, Romance            ",139 min,7.2,$32.20M,"46,460",90        
"Dennis, o Pimentinha",(1993),"
Comedy, Family            ",94 min,5.6,$51.27M,"53,047",
Desafio no Bronx,(1993),"
Crime, Drama, Romance            ",121 min,7.8,$17.27M,"120,562",80        
O Demolidor,(1993),"
Action, Sci-Fi, Thriller            ",115 min,6.7,$58.06M,"150,027",34        
Jamaica Abaixo de Zero,(1993),"
Adventure, Comedy, Family            ",98 min,7.0,$68.86M,"86,866",60        
A Firma,(1993),"
Drama, Mystery, Thriller            ",154 min,6.8,$158.35M,"110,087",58        
Mudança de Hábito 2: Mais Confusões no Convento,(1993),"
Comedy, Family, Music            ",107 min,5.6,$57.32M,"46,081",38        
Se Brincar o Bicho Morde,(1993),"
Comedy, Drama, Family            ",101 min,7.8,$32.42M,"74,009",55        
A Família Buscapé,(1993),"
Comedy, Family            ",92 min,5.0,$44.03M,"16,635",37        
Dois Velhos Rabugentos,(1993),"
Comedy, Drama, Romance            ",103 min,7.0,$70.17M,"40,959",53        
O Estranho Mundo de Jack,(1993),"
Animation, Family, Fantasy            ",76 min,8.0,$75.08M,"277,911",82        
A Incrível Jornada,(1993),"
Adventure, Comedy, Drama            ",84 min,6.9,$41.83M,"39,909",
Proposta Indecente,(1993),"
Drama, Romance            ",117 min,5.9,$106.61M,"58,777",35        
Abracadabra,(1993),"
Comedy, Family, Fantasy            ",96 min,6.8,$39.51M,"88,729",
Invasão de Privacidade,(1993),"
Drama, Thriller            ",107 min,5.0,$36.30M,"27,311",38        
Os Três Mosqueteiros,(1993),"
Action, Adventure, Comedy            ",105 min,6.4,$53.90M,"48,047",43        
Vivos,(1993),"
Adventure, Biography, Drama            ",120 min,7.1,$36.73M,"47,622",
Super Mario Bros.,(1993),"
Adventure, Comedy, Family            ",104 min,4.0,$20.92M,"46,602",
Top Gang 2! A Missão,(1993),"
Action, Comedy            ",86 min,6.6,$38.91M,"80,403",
Marcados Pelo Sangue,(1993),"
Crime, Drama            ",180 min,8.0,$4.50M,"27,353",47        
A Louca! Louca História de Robin Hood,(1993),"
Adventure, Comedy, Musical            ",104 min,6.7,$35.74M,"110,487",44        
Risco Total,(1993),"
Action, Adventure, Thriller            ",113 min,6.4,$84.05M,"114,443",60        
Vestígios do Dia,(1993),"
Drama, Romance            ",134 min,7.8,$22.95M,"60,433",84        
O Último Grande Herói,(1993),"
Action, Adventure, Comedy            ",130 min,6.4,$50.02M,"129,731",44        
O Jardim Secreto,(1993),"
Drama, Family, Fantasy            ",101 min,7.3,$31.18M,"34,329",74        
Fogo no Céu,(1993),"
Biography, Drama, Fantasy            ",109 min,6.6,$20.10M,"19,990",42        
Nu,(1993),"
Comedy, Drama            ",132 min,7.8,$1.77M,"31,518",84        
Em Nome do Pai,(1993),"
Biography, Drama            ",133 min,8.1,$25.01M,"146,375",84        
Perigo para a Sociedade,(1993),"
Crime, Drama, Thriller            ",97 min,7.5,$27.90M,"48,265",76        
Muito Barulho por Nada,(1993),"
Comedy, Drama, Romance            ",111 min,7.3,$22.55M,"43,254",
O Despertar de um Homem,(1993),"
Biography, Drama            ",115 min,7.3,$4.10M,"44,009",60        
